TransactionID,Device,Site,StationName,Start,End,Account,Total_Energy (kWh),Duration,Meter Start (kWh),Meter End (kWh)
42307,559,UK-HBN-EB39A,Westland Road,25/07/2020 06:52,25/07/2020 07:07,Leeds Fleet Account,0.851,00:14:43,0,0.851
42308,559,UK-HBN-EB39A,Westland Road,25/07/2020 07:07,27/07/2020 06:50,Leeds Fleet Account,0,47:42:45,0,0
42311,575,UK-HBN-EB99B,Knowsthorpe HQ,25/07/2020 08:00,25/07/2020 09:41,Leeds Fleet Account,11.964,01:40:48,0,11.964
42322,575,UK-HBN-EB99B,Knowsthorpe HQ,25/07/2020 13:34,26/07/2020 09:52,Leeds Fleet Account,11.76,20:17:18,0,11.76
42346,575,UK-HBN-EB99B,Knowsthorpe HQ,26/07/2020 12:55,27/07/2020 09:24,Leeds Fleet Account,12.312,20:28:24,0,12.312
42347,575,UK-HBN-EB99B,Knowsthorpe HQ,26/07/2020 13:17,27/07/2020 09:55,Leeds Fleet Account,16.284,20:38:17,0,16.284
42353,560,UK-HBN-EB39B,Westland Road,27/07/2020 06:19,27/07/2020 07:18,Leeds Fleet Account,6.302,00:58:49,0,6.302
42362,560,UK-HBN-EB39B,Westland Road,27/07/2020 07:19,27/07/2020 07:59,Leeds Fleet Account,1.41,00:39:55,0,1.41
42366,616,UK-HBN-EB35,Discovery Centre,27/07/2020 07:40,30/07/2020 06:36,Leeds Fleet Account,0.29,70:55:32,0,0.29
42375,604,UK-HBN-EB143,Henshaw 3,27/07/2020 10:52,27/07/2020 14:25,Leeds Fleet Account,6.954,03:33:34,0,6.954
42380,577,UK-HBN-EB100A,Knowsthorpe HQ,27/07/2020 12:16,28/07/2020 09:25,Leeds Fleet Account,27.969,21:09:42,0,27.969
42382,559,UK-HBN-EB39A,Westland Road,27/07/2020 12:32,28/07/2020 08:23,Leeds Fleet Account,5.016,19:51:21,0,5.016
42383,577,UK-HBN-EB100A,Knowsthorpe HQ,27/07/2020 12:37,28/07/2020 09:37,Leeds Fleet Account,9.813,20:59:51,0,9.813
42391,560,UK-HBN-EB39B,Westland Road,27/07/2020 14:20,28/07/2020 06:51,Leeds Fleet Account,19.29,16:31:17,0,19.29
42394,553,UK-HBN-EB37B,Farnley Hall,28/07/2020 05:43,28/07/2020 12:15,Leeds Fleet Account,19.829,06:32:09,0,19.829
42399,575,UK-HBN-EB99B,Knowsthorpe HQ,28/07/2020 06:47,28/07/2020 09:44,Leeds Fleet Account,19.56,02:57:01,0,19.56
42403,562,UK-HBN-EB59,Print Unit Limewood Approach,28/07/2020 07:04,28/07/2020 15:26,Leeds Fleet Account,15.864,08:21:50,0,15.864
42411,604,UK-HBN-EB143,Henshaw 3,28/07/2020 09:16,29/07/2020 09:32,Leeds Fleet Account,7.602,24:15:51,0,7.602
42419,578,UK-HBN-EB100B,Knowsthorpe HQ,28/07/2020 12:13,28/07/2020 16:28,Leeds Fleet Account,6.932,04:14:23,0,6.932
42420,577,UK-HBN-EB100A,Knowsthorpe HQ,28/07/2020 12:32,29/07/2020 08:51,Leeds Fleet Account,19.724,20:18:55,0,19.724
42422,575,UK-HBN-EB99B,Knowsthorpe HQ,28/07/2020 12:38,29/07/2020 09:58,Leeds Fleet Account,20.468,21:20:20,0,20.468
42421,577,UK-HBN-EB100A,Knowsthorpe HQ,28/07/2020 12:38,29/07/2020 09:33,Leeds Fleet Account,10.383,20:55:43,0,10.383
42424,578,UK-HBN-EB100B,Knowsthorpe HQ,28/07/2020 12:44,28/07/2020 16:28,Leeds Fleet Account,14.518,03:43:46,0,14.518
42423,578,UK-HBN-EB100B,Knowsthorpe HQ,28/07/2020 12:44,28/07/2020 12:44,Leeds Fleet Account,0,00:00:17,0,0
42431,560,UK-HBN-EB39B,Westland Road,28/07/2020 14:18,29/07/2020 07:07,Leeds Fleet Account,17.301,16:48:33,0,17.301
42432,559,UK-HBN-EB39A,Westland Road,28/07/2020 14:28,30/07/2020 09:00,Leeds Fleet Account,7.685,42:32:03,0,7.685
42455,553,UK-HBN-EB37B,Farnley Hall,29/07/2020 06:23,04/08/2020 07:02,Leeds Fleet Account,28.475,144:39:10,0,28.475
42456,562,UK-HBN-EB59,Print Unit Limewood Approach,29/07/2020 06:48,29/07/2020 15:13,Leeds Fleet Account,15.641,08:25:28,0,15.641
42457,578,UK-HBN-EB100B,Knowsthorpe HQ,29/07/2020 06:50,29/07/2020 09:08,Leeds Fleet Account,8.151,02:18:23,0,8.151
42472,604,UK-HBN-EB143,Henshaw 3,29/07/2020 09:33,29/07/2020 13:48,Leeds Fleet Account,8.906,04:15:21,0,8.906
42480,577,UK-HBN-EB100A,Knowsthorpe HQ,29/07/2020 12:22,30/07/2020 07:10,Leeds Fleet Account,9.976,18:48:31,0,9.976
42481,577,UK-HBN-EB100A,Knowsthorpe HQ,29/07/2020 12:39,30/07/2020 08:47,Leeds Fleet Account,13.184,20:08:53,0,13.184
42482,578,UK-HBN-EB100B,Knowsthorpe HQ,29/07/2020 12:42,30/07/2020 09:15,Leeds Fleet Account,18.004,20:33:45,0,18.004
42483,578,UK-HBN-EB100B,Knowsthorpe HQ,29/07/2020 12:44,29/07/2020 16:34,Leeds Fleet Account,14.786,03:49:59,0,14.786
42485,575,UK-HBN-EB99B,Knowsthorpe HQ,29/07/2020 12:50,30/07/2020 08:46,Leeds Fleet Account,23.649,19:56:14,0,23.649
42494,575,UK-HBN-EB99B,Knowsthorpe HQ,29/07/2020 13:26,30/07/2020 09:43,Leeds Fleet Account,21.52,20:16:16,0,21.52
42502,560,UK-HBN-EB39B,Westland Road,29/07/2020 14:24,30/07/2020 06:52,Leeds Fleet Account,16.227,16:27:48,0,16.227
42524,562,UK-HBN-EB59,Print Unit Limewood Approach,30/07/2020 06:56,30/07/2020 15:34,Leeds Fleet Account,14.664,08:37:37,0,14.664
42525,578,UK-HBN-EB100B,Knowsthorpe HQ,30/07/2020 06:59,30/07/2020 09:54,Leeds Fleet Account,15.922,02:55:03,0,15.922
42530,616,UK-HBN-EB35,Discovery Centre,30/07/2020 07:57,31/07/2020 06:36,Leeds Fleet Account,1.019,22:39:11,0,1.019
42532,601,UK-HBN-EB141A,Henshaw 1,30/07/2020 08:27,30/07/2020 14:34,Leeds Fleet Account,8.07,06:06:55,0,8.07
42546,577,UK-HBN-EB100A,Knowsthorpe HQ,30/07/2020 11:48,31/07/2020 09:08,Leeds Fleet Account,24.224,21:19:49,0,24.224
42549,578,UK-HBN-EB100B,Knowsthorpe HQ,30/07/2020 12:25,30/07/2020 16:30,Leeds Fleet Account,7.85,04:05:34,0,7.85
42551,577,UK-HBN-EB100A,Knowsthorpe HQ,30/07/2020 12:36,31/07/2020 08:51,Leeds Fleet Account,13.558,20:14:51,0,13.558
42552,578,UK-HBN-EB100B,Knowsthorpe HQ,30/07/2020 12:38,31/07/2020 09:45,Leeds Fleet Account,8.596,21:07:30,0,8.596
42553,575,UK-HBN-EB99B,Knowsthorpe HQ,30/07/2020 12:40,31/07/2020 09:56,Leeds Fleet Account,19.961,21:16:25,0,19.961
42573,560,UK-HBN-EB39B,Westland Road,30/07/2020 14:37,31/07/2020 06:57,Leeds Fleet Account,18.877,16:19:45,0,18.877
42577,604,UK-HBN-EB143,Henshaw 3,30/07/2020 15:26,31/07/2020 05:22,Leeds Fleet Account,22.475,13:55:45,0,22.475
42592,562,UK-HBN-EB59,Print Unit Limewood Approach,31/07/2020 06:52,31/07/2020 11:40,Leeds Fleet Account,16.919,04:48:13,0,16.919
42593,575,UK-HBN-EB99B,Knowsthorpe HQ,31/07/2020 06:54,31/07/2020 09:13,Leeds Fleet Account,6.298,02:18:55,0,6.298
42608,616,UK-HBN-EB35,Discovery Centre,31/07/2020 10:42,03/08/2020 08:09,Leeds Fleet Account,4.694,69:27:22,0,4.694
42615,575,UK-HBN-EB99B,Knowsthorpe HQ,31/07/2020 12:19,31/07/2020 12:20,Leeds Fleet Account,0,00:00:03,0,0
42614,575,UK-HBN-EB99B,Knowsthorpe HQ,31/07/2020 12:19,31/07/2020 12:19,Leeds Fleet Account,0,00:00:06,0,0
42616,578,UK-HBN-EB100B,Knowsthorpe HQ,31/07/2020 12:23,31/07/2020 16:23,Leeds Fleet Account,7.175,03:59:38,0,7.175
42617,575,UK-HBN-EB99B,Knowsthorpe HQ,31/07/2020 12:31,31/07/2020 16:28,Leeds Fleet Account,13.266,03:56:28,0,13.266
42618,577,UK-HBN-EB100A,Knowsthorpe HQ,31/07/2020 12:45,01/08/2020 10:21,Leeds Fleet Account,11.712,21:35:58,0,11.712
42622,578,UK-HBN-EB100B,Knowsthorpe HQ,31/07/2020 12:51,01/08/2020 10:20,Leeds Fleet Account,13.895,21:28:36,0,13.895
42635,560,UK-HBN-EB39B,Westland Road,31/07/2020 14:08,03/08/2020 06:57,Leeds Fleet Account,18.637,64:48:46,0,18.637
42640,575,UK-HBN-EB99B,Knowsthorpe HQ,31/07/2020 17:29,01/08/2020 09:32,Leeds Fleet Account,5.693,16:02:46,0,5.693
42646,575,UK-HBN-EB99B,Knowsthorpe HQ,01/08/2020 12:26,02/08/2020 10:07,Leeds Fleet Account,15.404,21:41:52,0,15.404
42647,578,UK-HBN-EB100B,Knowsthorpe HQ,01/08/2020 12:41,02/08/2020 10:12,Leeds Fleet Account,28.43,21:30:58,0,28.43
42648,577,UK-HBN-EB100A,Knowsthorpe HQ,01/08/2020 12:57,02/08/2020 09:34,Leeds Fleet Account,21.516,20:36:57,0,21.516
42649,578,UK-HBN-EB100B,Knowsthorpe HQ,01/08/2020 13:07,02/08/2020 09:39,Leeds Fleet Account,9.014,20:32:37,0,9.014
42650,577,UK-HBN-EB100A,Knowsthorpe HQ,01/08/2020 13:47,01/08/2020 13:51,Leeds Fleet Account,0.4,00:03:35,0,0.4
42652,577,UK-HBN-EB100A,Knowsthorpe HQ,01/08/2020 13:52,02/08/2020 09:44,Leeds Fleet Account,25.903,19:52:16,0,25.903
42663,575,UK-HBN-EB99B,Knowsthorpe HQ,02/08/2020 12:28,03/08/2020 09:25,Leeds Fleet Account,20.031,20:56:58,0,20.031
42664,578,UK-HBN-EB100B,Knowsthorpe HQ,02/08/2020 12:47,03/08/2020 09:00,Leeds Fleet Account,11.119,20:12:06,0,11.119
42666,578,UK-HBN-EB100B,Knowsthorpe HQ,02/08/2020 12:55,03/08/2020 08:54,Leeds Fleet Account,11.496,19:58:41,0,11.496
42665,575,UK-HBN-EB99B,Knowsthorpe HQ,02/08/2020 12:55,03/08/2020 09:52,Leeds Fleet Account,14.433,20:57:05,0,14.433
42667,577,UK-HBN-EB100A,Knowsthorpe HQ,02/08/2020 12:59,02/08/2020 12:59,Leeds Fleet Account,0,00:00:23,0,0
42681,577,UK-HBN-EB100A,Knowsthorpe HQ,03/08/2020 06:16,03/08/2020 09:05,Leeds Fleet Account,20.01,02:48:45,0,20.01
42682,559,UK-HBN-EB39A,Westland Road,03/08/2020 06:19,03/08/2020 08:24,Leeds Fleet Account,8.808,02:05:40,0,8.808
42691,550,UK-HBN-EB34,Millshaw Park Way,03/08/2020 08:08,03/08/2020 13:39,Leeds Fleet Account,7.477,05:30:18,0,7.477
42692,559,UK-HBN-EB39A,Westland Road,03/08/2020 08:25,03/08/2020 09:33,Leeds Fleet Account,1.016,01:08:01,0,1.016
42697,604,UK-HBN-EB143,Henshaw 3,03/08/2020 09:50,03/08/2020 14:25,Leeds Fleet Account,7.208,04:34:35,0,7.208
42700,577,UK-HBN-EB100A,Knowsthorpe HQ,03/08/2020 11:14,06/08/2020 11:24,Leeds Fleet Account,15.104,72:09:36,0,15.104
42702,560,UK-HBN-EB39B,Westland Road,03/08/2020 12:09,04/08/2020 06:50,Leeds Fleet Account,5.213,18:41:12,0,5.213
42703,577,UK-HBN-EB100A,Knowsthorpe HQ,03/08/2020 12:35,04/08/2020 09:43,Leeds Fleet Account,29.636,21:08:38,0,29.636
42704,578,UK-HBN-EB100B,Knowsthorpe HQ,03/08/2020 12:39,03/08/2020 12:40,Leeds Fleet Account,0,00:00:15,0,0
42705,578,UK-HBN-EB100B,Knowsthorpe HQ,03/08/2020 12:40,04/08/2020 09:41,Leeds Fleet Account,18.51,21:01:08,0,18.51
42706,578,UK-HBN-EB100B,Knowsthorpe HQ,03/08/2020 12:51,03/08/2020 16:19,Leeds Fleet Account,10.362,03:28:27,0,10.362
42707,575,UK-HBN-EB99B,Knowsthorpe HQ,03/08/2020 13:03,04/08/2020 09:04,Leeds Fleet Account,11.517,20:01:47,0,11.517
42708,575,UK-HBN-EB99B,Knowsthorpe HQ,03/08/2020 13:17,04/08/2020 09:57,Leeds Fleet Account,21.636,20:39:52,0,21.636
42710,616,UK-HBN-EB35,Discovery Centre,03/08/2020 13:38,05/08/2020 07:41,Leeds Fleet Account,5.781,42:03:23,0,5.781
42712,559,UK-HBN-EB39A,Westland Road,03/08/2020 14:27,04/08/2020 06:49,Leeds Fleet Account,15.277,16:22:00,0,15.277
42732,559,UK-HBN-EB39A,Westland Road,04/08/2020 05:54,04/08/2020 07:44,Leeds Fleet Account,11.44,01:50:22,0,11.44
42739,562,UK-HBN-EB59,Print Unit Limewood Approach,04/08/2020 07:04,04/08/2020 13:12,Leeds Fleet Account,15.954,06:07:45,0,15.954
42745,553,UK-HBN-EB37B,Farnley Hall,04/08/2020 08:12,04/08/2020 13:14,Leeds Fleet Account,17.199,05:02:26,0,17.199
42750,604,UK-HBN-EB143,Henshaw 3,04/08/2020 09:39,04/08/2020 12:51,Leeds Fleet Account,7.088,03:12:41,0,7.088
42755,560,UK-HBN-EB39B,Westland Road,04/08/2020 11:15,04/08/2020 13:16,Leeds Fleet Account,8.56,02:00:57,0,8.56
42756,577,UK-HBN-EB100A,Knowsthorpe HQ,04/08/2020 12:27,05/08/2020 10:03,Leeds Fleet Account,10.672,21:35:45,0,10.672
42757,578,UK-HBN-EB100B,Knowsthorpe HQ,04/08/2020 12:44,05/08/2020 09:36,Leeds Fleet Account,11.14,20:51:15,0,11.14
42761,575,UK-HBN-EB99B,Knowsthorpe HQ,04/08/2020 12:58,04/08/2020 16:33,Leeds Fleet Account,14.223,03:34:58,0,14.223
42763,562,UK-HBN-EB59,Print Unit Limewood Approach,04/08/2020 13:14,04/08/2020 13:14,Leeds Fleet Account,0,00:00:02,0,0
42764,562,UK-HBN-EB59,Print Unit Limewood Approach,04/08/2020 13:15,04/08/2020 15:55,Leeds Fleet Account,16.805,02:39:49,0,16.805
42769,578,UK-HBN-EB100B,Knowsthorpe HQ,04/08/2020 13:49,05/08/2020 09:38,Leeds Fleet Account,18.808,19:48:45,0,18.808
42771,560,UK-HBN-EB39B,Westland Road,04/08/2020 14:21,05/08/2020 07:03,Leeds Fleet Account,18.316,16:42:31,0,18.316
42772,560,UK-HBN-EB39B,Westland Road,04/08/2020 14:41,04/08/2020 14:41,Leeds Fleet Account,0,00:00:14,0,0
42773,560,UK-HBN-EB39B,Westland Road,04/08/2020 14:42,05/08/2020 13:36,Leeds Fleet Account,8.382,22:53:48,0,8.382
42791,575,UK-HBN-EB99B,Knowsthorpe HQ,05/08/2020 06:53,05/08/2020 09:44,Leeds Fleet Account,10.548,02:51:00,0,10.548
42794,562,UK-HBN-EB59,Print Unit Limewood Approach,05/08/2020 07:10,05/08/2020 15:24,Leeds Fleet Account,18.437,08:14:23,0,18.437
42801,604,UK-HBN-EB143,Henshaw 3,05/08/2020 09:02,05/08/2020 12:30,Leeds Fleet Account,9.288,03:27:58,0,9.288
42813,577,UK-HBN-EB100A,Knowsthorpe HQ,05/08/2020 12:33,05/08/2020 12:34,Leeds Fleet Account,0,00:00:15,0,0
42814,577,UK-HBN-EB100A,Knowsthorpe HQ,05/08/2020 12:35,06/08/2020 09:39,Leeds Fleet Account,10.81,21:04:09,0,10.81
42816,575,UK-HBN-EB99B,Knowsthorpe HQ,05/08/2020 12:38,05/08/2020 16:34,Leeds Fleet Account,12.788,03:56:17,0,12.788
42817,616,UK-HBN-EB35,Discovery Centre,05/08/2020 12:39,06/08/2020 09:00,Leeds Fleet Account,11.453,20:21:34,0,11.453
42818,578,UK-HBN-EB100B,Knowsthorpe HQ,05/08/2020 12:42,06/08/2020 09:02,Leeds Fleet Account,19.578,20:20:10,0,19.578
42819,578,UK-HBN-EB100B,Knowsthorpe HQ,05/08/2020 12:45,06/08/2020 09:58,Leeds Fleet Account,11.287,21:13:03,0,11.287
42824,560,UK-HBN-EB39B,Westland Road,05/08/2020 13:36,06/08/2020 09:30,Leeds Fleet Account,0,19:54:37,0,0
42826,560,UK-HBN-EB39B,Westland Road,05/08/2020 14:12,06/08/2020 06:41,Leeds Fleet Account,14.624,16:28:56,0,14.624
42828,555,UK-HBN-EB37A,Farnley Hall,05/08/2020 14:18,06/08/2020 10:20,Leeds Fleet Account,16.46,20:01:20,0,16.46
42833,562,UK-HBN-EB59,Print Unit Limewood Approach,05/08/2020 14:45,05/08/2020 15:55,Leeds Fleet Account,7.385,01:09:56,0,7.385
42836,604,UK-HBN-EB143,Henshaw 3,05/08/2020 15:37,06/08/2020 05:17,Leeds Fleet Account,24.871,13:39:59,0,24.871
42849,575,UK-HBN-EB99B,Knowsthorpe HQ,06/08/2020 06:49,06/08/2020 09:38,Leeds Fleet Account,17.287,02:48:41,0,17.287
42851,562,UK-HBN-EB59,Print Unit Limewood Approach,06/08/2020 07:02,06/08/2020 10:34,Leeds Fleet Account,15.88,03:32:08,0,15.88
42858,604,UK-HBN-EB143,Henshaw 3,06/08/2020 09:25,06/08/2020 12:25,Leeds Fleet Account,8.917,03:00:08,0,8.917
42865,562,UK-HBN-EB59,Print Unit Limewood Approach,06/08/2020 09:54,06/08/2020 10:33,Leeds Fleet Account,4.046,00:38:40,0,4.046
42866,562,UK-HBN-EB59,Print Unit Limewood Approach,06/08/2020 10:40,06/08/2020 14:35,Leeds Fleet Account,24.855,03:55:40,0,24.855
42869,616,UK-HBN-EB35,Discovery Centre,06/08/2020 11:15,07/08/2020 08:36,Leeds Fleet Account,4.288,21:21:14,0,4.288
42871,577,UK-HBN-EB100A,Knowsthorpe HQ,06/08/2020 11:24,06/08/2020 12:11,Leeds Fleet Account,0,00:47:05,0,0
42878,577,UK-HBN-EB100A,Knowsthorpe HQ,06/08/2020 12:04,06/08/2020 13:27,Leeds Fleet Account,9.912,01:22:46,0,9.912
42879,575,UK-HBN-EB99B,Knowsthorpe HQ,06/08/2020 12:05,07/08/2020 07:26,Leeds Fleet Account,19.388,19:21:27,0,19.388
42880,578,UK-HBN-EB100B,Knowsthorpe HQ,06/08/2020 12:32,07/08/2020 07:33,Leeds Fleet Account,7.292,19:01:38,0,7.292
42881,577,UK-HBN-EB100A,Knowsthorpe HQ,06/08/2020 12:33,07/08/2020 07:36,Leeds Fleet Account,30.689,19:02:42,0,30.689
42882,575,UK-HBN-EB99B,Knowsthorpe HQ,06/08/2020 12:39,07/08/2020 07:31,Leeds Fleet Account,21.909,18:51:51,0,21.909
42884,578,UK-HBN-EB100B,Knowsthorpe HQ,06/08/2020 13:21,07/08/2020 07:29,Leeds Fleet Account,13.269,18:08:06,0,13.269
42890,560,UK-HBN-EB39B,Westland Road,06/08/2020 14:14,07/08/2020 06:51,Leeds Fleet Account,15.477,16:36:51,0,15.477
42911,562,UK-HBN-EB59,Print Unit Limewood Approach,07/08/2020 06:55,07/08/2020 13:51,Leeds Fleet Account,20.608,06:56:22,0,20.608
42917,577,UK-HBN-EB100A,Knowsthorpe HQ,07/08/2020 07:50,07/08/2020 16:23,Leeds Fleet Account,30.93,08:33:18,0,30.93
42926,616,UK-HBN-EB35,Discovery Centre,07/08/2020 10:47,10/08/2020 06:41,Leeds Fleet Account,4.158,67:53:10,0,4.158
42935,578,UK-HBN-EB100B,Knowsthorpe HQ,07/08/2020 12:38,07/08/2020 17:14,Leeds Fleet Account,17.707,04:35:47,0,17.707
42936,575,UK-HBN-EB99B,Knowsthorpe HQ,07/08/2020 12:39,07/08/2020 16:53,Leeds Fleet Account,19.333,04:13:21,0,19.333
42937,577,UK-HBN-EB100A,Knowsthorpe HQ,07/08/2020 12:46,08/08/2020 10:07,Leeds Fleet Account,13.963,21:21:44,0,13.963
42939,578,UK-HBN-EB100B,Knowsthorpe HQ,07/08/2020 12:52,08/08/2020 09:41,Leeds Fleet Account,13.592,20:49:54,0,13.592
42953,560,UK-HBN-EB39B,Westland Road,07/08/2020 14:11,10/08/2020 06:49,Leeds Fleet Account,15.197,64:37:54,0,15.197
42978,550,UK-HBN-EB34,Millshaw Park Way,08/08/2020 11:59,09/08/2020 07:11,Leeds Fleet Account,16.531,19:12:14,0,16.531
42980,577,UK-HBN-EB100A,Knowsthorpe HQ,08/08/2020 12:32,09/08/2020 10:34,Leeds Fleet Account,16.112,22:02:39,0,16.112
42981,575,UK-HBN-EB99B,Knowsthorpe HQ,08/08/2020 13:14,08/08/2020 13:14,Leeds Fleet Account,0,00:00:06,0,0
42982,578,UK-HBN-EB100B,Knowsthorpe HQ,08/08/2020 13:15,09/08/2020 08:58,Leeds Fleet Account,22.024,19:43:03,0,22.024
42984,575,UK-HBN-EB99B,Knowsthorpe HQ,08/08/2020 13:30,09/08/2020 10:22,Leeds Fleet Account,18.585,20:52:43,0,18.585
42992,577,UK-HBN-EB100A,Knowsthorpe HQ,09/08/2020 07:25,09/08/2020 10:08,Leeds Fleet Account,19.619,02:43:20,0,19.619
42994,579,UK-HBN-EB104,Seacroft Waste,09/08/2020 07:50,09/08/2020 11:55,Leeds Fleet Account,25.183,04:04:53,0,25.183
42998,575,UK-HBN-EB99B,Knowsthorpe HQ,09/08/2020 12:32,09/08/2020 12:32,Leeds Fleet Account,0,00:00:19,0,0
42999,578,UK-HBN-EB100B,Knowsthorpe HQ,09/08/2020 12:45,09/08/2020 13:06,Leeds Fleet Account,2.454,00:20:57,0,2.454
43000,577,UK-HBN-EB100A,Knowsthorpe HQ,09/08/2020 13:03,09/08/2020 13:04,Leeds Fleet Account,0,00:00:30,0,0
43002,578,UK-HBN-EB100B,Knowsthorpe HQ,09/08/2020 13:06,10/08/2020 09:13,Leeds Fleet Account,27.877,20:07:29,0,27.877
43001,577,UK-HBN-EB100A,Knowsthorpe HQ,09/08/2020 13:06,10/08/2020 09:14,Leeds Fleet Account,10.018,20:07:45,0,10.018
43003,578,UK-HBN-EB100B,Knowsthorpe HQ,09/08/2020 13:08,10/08/2020 09:10,Leeds Fleet Account,8.291,20:02:46,0,8.291
43004,577,UK-HBN-EB100A,Knowsthorpe HQ,09/08/2020 13:13,10/08/2020 10:04,Leeds Fleet Account,9.433,20:50:49,0,9.433
43005,575,UK-HBN-EB99B,Knowsthorpe HQ,09/08/2020 13:22,10/08/2020 09:28,Leeds Fleet Account,12.479,20:05:29,0,12.479
43021,559,UK-HBN-EB39A,Westland Road,10/08/2020 05:59,10/08/2020 07:49,Leeds Fleet Account,8.136,01:49:39,0,8.136
43031,601,UK-HBN-EB141A,Henshaw 1,10/08/2020 07:38,10/08/2020 07:38,Leeds Fleet Account,0,00:00:17,0,0
43032,601,UK-HBN-EB141A,Henshaw 1,10/08/2020 07:41,10/08/2020 10:47,Leeds Fleet Account,10.46,03:06:43,0,10.46
43038,575,UK-HBN-EB99B,Knowsthorpe HQ,10/08/2020 09:05,10/08/2020 10:05,Leeds Fleet Account,7.109,01:00:04,0,7.109
43041,550,UK-HBN-EB34,Millshaw Park Way,10/08/2020 09:47,10/08/2020 13:22,Leeds Fleet Account,12.716,03:34:49,0,12.716
43042,560,UK-HBN-EB39B,Westland Road,10/08/2020 10:12,11/08/2020 09:12,Leeds Fleet Account,9.652,22:59:55,0,9.652
43044,616,UK-HBN-EB35,Discovery Centre,10/08/2020 11:13,11/08/2020 06:34,Leeds Fleet Account,7.289,19:21:06,0,7.289
43048,577,UK-HBN-EB100A,Knowsthorpe HQ,10/08/2020 12:26,11/08/2020 08:58,Leeds Fleet Account,32.067,20:31:22,0,32.067
43049,578,UK-HBN-EB100B,Knowsthorpe HQ,10/08/2020 12:30,11/08/2020 09:07,Leeds Fleet Account,10.865,20:36:54,0,10.865
43050,577,UK-HBN-EB100A,Knowsthorpe HQ,10/08/2020 12:42,10/08/2020 12:43,Leeds Fleet Account,0,00:00:26,0,0
43051,577,UK-HBN-EB100A,Knowsthorpe HQ,10/08/2020 12:43,11/08/2020 09:32,Leeds Fleet Account,25.956,20:48:36,0,25.956
43053,575,UK-HBN-EB99B,Knowsthorpe HQ,10/08/2020 12:57,10/08/2020 17:08,Leeds Fleet Account,19.235,04:10:54,0,19.235
43055,553,UK-HBN-EB37B,Farnley Hall,10/08/2020 13:09,10/08/2020 15:01,Leeds Fleet Account,4.795,01:52:13,0,4.795
43056,578,UK-HBN-EB100B,Knowsthorpe HQ,10/08/2020 13:13,11/08/2020 09:12,Leeds Fleet Account,21.111,19:58:58,0,21.111
43057,575,UK-HBN-EB99B,Knowsthorpe HQ,10/08/2020 13:14,11/08/2020 09:43,Leeds Fleet Account,23.066,20:29:02,0,23.066
43063,559,UK-HBN-EB39A,Westland Road,10/08/2020 14:22,11/08/2020 06:49,Leeds Fleet Account,14.766,16:26:28,0,14.766
43068,604,UK-HBN-EB143,Henshaw 3,10/08/2020 15:33,11/08/2020 05:19,Leeds Fleet Account,23.503,13:46:08,0,23.503
